@@ -0,0 +1,31 @@
+Post,No.,Comment,Status,Used by,Notes
+"BRIN / Riset",1,"keren bgt... akhirnya riset anak bangsa dapet panggung di Istana 🙏 semoga ga berhenti di acara doang yaa","Belum digunakan","",""
+"BRIN / Riset",2,"semoga hasil risetnya bener2 bisa dipake masyarakat... jgn cuma jadi laporan yg disimpan di lemari 😅","Belum digunakan","",""
+"BRIN / Riset",3,"Indonesia harus mulai bikin teknologi sendiri, jangan cuma jadi pemakai produk luar terus 🔥","Belum digunakan","",""
+"BRIN / Riset",4,"Ini langkah yang baik untuk memperkuat ekosistem riset nasional. Semoga dukungannya konsisten dan hasilnya terasa nyata.","Belum digunakan","",""
+"BRIN / Riset",5,"seneng liat beginian... semoga anak2 kita nanti tumbuh di Indonesia yg maju dan mandiri 🙏","Belum digunakan","",""
+"BRIN / Riset",6,"riset tanpa hilirisasi ya sayang bgt... mudah2an abis ini ada tindak lanjut yg jelas","Belum digunakan","",""
+"BRIN / Riset",7,"semoga UMKM jg bisa ikut ngerasain manfaat inovasinya, jangan perusahaan besar aja yaa","Belum digunakan","",""
+"BRIN / Riset",8,"bangga bgt liat karya anak bangsa 🇮🇩 kalo didukung serius, Indonesia bisa jauh lebih maju","Belum digunakan","",""
+"BRIN / Riset",9,"anak muda jadi makin semangat masuk dunia sains... keren sih kalau karya mereka benar-benar dihargai","Belum digunakan","",""
+"BRIN / Riset",10,"bagus banget... tinggal dibuktiin aja hasilnya di lapangan, jangan berhenti di seremoni 🙏","Belum digunakan","",""
+"Hoaks / Provokasi",1,"bener bgt... kadang berita yg belum tentu bener udah bikin orang panik duluan 😔","Belum digunakan","",""
+"Hoaks / Provokasi",2,"jgn gampang kepancing guys... hoaks emg dibuat biar kita berantem sesama sendiri","Belum digunakan","",""
+"Hoaks / Provokasi",3,"sekarang harus ekstra hati2 ya buibu... apalagi berita dari grup WA, judulnya suka bikin panik 😅","Belum digunakan","",""
+"Hoaks / Provokasi",4,"Berbeda pendapat itu wajar, tetapi informasi tetap perlu dicek sebelum dibagikan.","Belum digunakan","",""
+"Hoaks / Provokasi",5,"muak bgt liat konten provokasi berseliweran... dikit2 percaya, dikit2 ngamuk 😩","Belum digunakan","",""
+"Hoaks / Provokasi",6,"anak2 kita nanti tumbuh di ruang digital... penting bgt ajarin mana fakta mana provokasi 🙏","Belum digunakan","",""
+"Hoaks / Provokasi",7,"kadang liat berita langsung emosi... padahal belom tentu bener 😭 cek dulu sebelum terusin yaa","Belum digunakan","",""
+"Hoaks / Provokasi",8,"setuju soal hoaks... tp klarifikasinya jg harus cepet dan jelas dong, biar org ga makin bingung","Belum digunakan","",""
+"Hoaks / Provokasi",9,"Indonesia terlalu berharga buat dipecah2 sama kabar palsu 🇮🇩 jaga jempol, jaga persatuan","Belum digunakan","",""
+"Hoaks / Provokasi",10,"Demokrasi bukan berarti bebas menyebarkan informasi yang belum terverifikasi. Kita tetap perlu menjaga ruang digital.","Belum digunakan","",""
+"Bahlil / Ulang Tahun",1,"selamat ulang tahun Pak Bahlil... sehat selalu, panjang umur, makin berkah dan sukses terus 🙏🎂","Belum digunakan","",""
+"Bahlil / Ulang Tahun",2,"fix hari ini notif Pak Bahlil full ucapan semua 😄 sehat2 terus pak","Belum digunakan","",""
+"Bahlil / Ulang Tahun",3,"50 tahun melangkah dari Timur... semoga makin kuat melangkah dan makin banyak manfaatnya untuk Indonesia 🇮🇩","Belum digunakan","",""
+"Bahlil / Ulang Tahun",4,"HBD Pak Bahlil 🎂 semoga sehat, panjang umur dan selalu diberi kelancaran dalam mengabdi","Belum digunakan","",""
+"Bahlil / Ulang Tahun",5,"yg ultah sehat2... yg ngucapin ikut seneng wkwkwk 😄","Belum digunakan","",""
+"Bahlil / Ulang Tahun",6,"selamat ultah pak... kuenya jangan lupa disisain yaa, minimal sepotong 😁🎂","Belum digunakan","",""
+"Bahlil / Ulang Tahun",7,"panjang umur, sehat, sukses dan selalu dalam lindungan Allah SWT Pak Bahlil 🤲","Belum digunakan","",""
+"Bahlil / Ulang Tahun",8,"wahh banjir ucapan nih pak 😄 semoga berkahnya jg makin berlipat2","Belum digunakan","",""
+"Bahlil / Ulang Tahun",9,"Selamat ulang tahun Pak Bahlil. Semoga di usia 50 tahun ini semakin banyak karya dan kontribusi nyata untuk masyarakat.","Belum digunakan","",""
+"Bahlil / Ulang Tahun",10,"dari Timur melangkah, untuk Indonesia berkarya... selamat ulang tahun pak, sehat dan sukses selalu 🔥🎂","Belum digunakan","",""
